"""""","""Entry.Number""","""date""","""Terminus(m)""","""Author"""
"""258""",257,2.00150684931507,840,"""Murray"""
"""259""",258,2.00152054794521,210,"""Catania"""
"""260""",259,2.00152054794521,210,"""Wood"""
"""261""",260,2.00152602739726,225,"""Catania"""
"""262""",261,2.0015698630137,420,"""Cheng"""
"""263""",262,2.0015698630137,420,"""Catania"""
"""264""",263,2.00158904109589,510,"""Catania"""
"""265""",264,2.00158904109589,495,"""Bevan"""
"""266""",265,2.00165753424658,180,"""Catania"""
"""267""",266,2.00172054794521,-45,"""PROMICE"""
"""268""",267,2.00172054794521,-30,"""Fahrner"""
"""269""",268,2.00172054794521,-45,"""Catania"""
"""270""",269,2.00176438356164,30,"""Catania"""
"""271""",270,2.00218356164384,525,"""Black_Taryn"""
"""272""",271,2.00218356164384,465,"""Catania"""
"""273""",272,2.00220821917808,585,"""Catania"""
"""274""",273,2.00220821917808,615,"""Murray"""
"""275""",274,2.00222191780822,660,"""Catania"""
"""276""",275,2.00224657534247,480,"""Catania"""
"""277""",276,2.00226575342466,495,"""Catania"""
"""278""",277,2.00227123287671,525,"""Catania"""
"""279""",278,2.00237808219178,495,"""Catania"""
"""280""",279,2.00240273972603,615,"""Catania"""
"""281""",280,2.00248493150685,270,"""Catania"""
"""282""",281,2.0024904109589,300,"""Cheng"""
"""283""",282,2.0025095890411,285,"""Catania"""
"""284""",283,2.0025095890411,315,"""Bevan"""
"""285""",284,2.00252876712329,420,"""Catania"""
"""286""",285,2.00255890410959,570,"""Murray"""
"""287""",286,2.00261643835616,645,"""Catania"""
"""288""",287,2.00262191780822,720,"""Cheng"""
"""289""",288,2.00262191780822,705,"""Catania"""
"""290""",289,2.00262191780822,675,"""Bevan"""
"""291""",290,2.00264109589041,690,"""Catania"""
"""292""",291,2.00264109589041,750,"""Wood"""
"""293""",292,2.00264109589041,660,"""Bevan"""
"""294""",293,2.00264657534247,735,"""ESA"""
"""295""",294,2.00264657534247,150,"""PROMICE"""
"""296""",295,2.00323561643836,630,"""Catania"""
"""297""",296,2.00323561643836,675,"""Black_Taryn"""
"""298""",297,2.00325479452055,405,"""Cheng"""
"""299""",298,2.00325479452055,360,"""Catania"""
"""300""",299,2.00327945205479,540,"""Catania"""
"""301""",300,2.00330410958904,105,"""Murray"""
"""302""",301,2.00339178082192,375,"""Murray"""
"""303""",302,2.00340547945205,330,"""Catania"""
"""304""",303,2.0035397260274,-30,"""ESA"""
"""305""",304,2.0036301369863,-150,"""Catania"""
"""306""",305,2.00371780821918,-120,"""Murray"""
"""307""",306,2.00371780821918,-105,"""Wood"""
"""308""",307,2.00371780821918,-105,"""PROMICE"""
"""309""",308,2.00371780821918,-120,"""Fahrner"""
"""310""",309,2.00371780821918,-120,"""Catania"""
"""311""",310,2.00419945355191,570,"""Black_Taryn"""
"""312""",311,2.00419945355191,525,"""Catania"""
"""313""",312,2.00424316939891,60,"""Catania"""
"""314""",313,2.0042868852459,285,"""Catania"""
"""315""",314,2.00431147540984,360,"""Catania"""
"""316""",315,2.00434972677596,450,"""Catania"""
"""317""",316,2.00435519125683,510,"""Catania"""
"""318""",317,2.00436885245902,585,"""Catania"""
"""319""",318,2.00436885245902,570,"""Cheng"""
"""320""",319,2.00437431693989,585,"""Catania"""
"""321""",320,2.00441256830601,720,"""Catania"""
"""322""",321,2.00443715846995,915,"""Bevan"""
"""323""",322,2.00443715846995,885,"""Catania"""
"""324""",323,2.00445628415301,2115,"""Cheng"""
"""325""",324,2.00445628415301,975,"""Catania"""
"""326""",325,2.00454918032787,255,"""Murray"""
"""327""",326,2.00454918032787,240,"""Catania"""
"""328""",327,2.00456830601093,330,"""Wood"""
"""329""",328,2.00456830601093,315,"""Catania"""
"""330""",329,2.00456830601093,315,"""Bevan"""
"""331""",330,2.00456830601093,360,"""Cheng"""
"""332""",331,2.0045737704918,345,"""Catania"""
"""333""",332,2.00459289617486,375,"""Catania"""
"""334""",333,2.0046174863388,105,"""Catania"""
"""335""",334,2.0046174863388,150,"""Murray"""
"""336""",335,2.00467486338798,0,"""Catania"""
"""337""",336,2.00468032786885,15,"""Catania"""
"""338""",337,2.00468852459016,-30,"""ESA"""
"""339""",338,2.00469945355191,-90,"""PROMICE"""
"""340""",339,2.00469945355191,-75,"""Catania"""
"""341""",340,2.00470491803279,-60,"""Catania"""
"""342""",341,2.00474863387978,150,"""Catania"""
"""343""",342,2.00474863387978,165,"""Cheng"""
"""344""",343,2.00524383561644,615,"""Catania"""
"""345""",344,2.00526849315068,705,"""Bevan"""
"""346""",345,2.00526849315068,690,"""Catania"""
"""347""",346,2.00526849315068,765,"""Black_Taryn"""
"""348""",347,2.00529315068493,495,"""Catania"""
"""349""",348,2.00531232876712,600,"""Catania"""
"""350""",349,2.00531232876712,615,"""Bevan"""
"""351""",350,2.00531232876712,660,"""Cheng"""
"""352""",351,2.00531780821918,1050,"""Cheng"""
"""353""",352,2.00531780821918,645,"""Catania"""
"""354""",353,2.00533150684931,645,"""Catania"""
"""355""",354,2.00536164383562,810,"""Murray"""
"""356""",355,2.00538082191781,825,"""Catania"""
"""357""",356,2.00541917808219,810,"""Catania"""
"""358""",357,2.00542465753425,285,"""Murray"""
"""359""",358,2.00542465753425,270,"""Catania"""
"""360""",359,2.00546301369863,480,"""Catania"""
"""361""",360,2.00546849315068,510,"""Catania"""
"""362""",361,2.00549315068493,270,"""Catania"""
"""363""",362,2.00551232876712,375,"""Catania"""
"""364""",363,2.00553698630137,480,"""Catania"""
"""365""",364,2.00555068493151,120,"""ESA"""
"""366""",365,2.00555068493151,270,"""Catania"""
"""367""",366,2.0056,180,"""Catania"""
"""368""",367,2.0056,210,"""Cheng"""
"""369""",368,2.0056,180,"""Murray"""
"""370""",369,2.00561917808219,270,"""Catania"""
"""371""",370,2.00562465753425,165,"""Catania"""
"""372""",371,2.00568767123288,-15,"""Cheng"""
"""373""",372,2.00568767123288,0,"""PROMICE"""
"""374""",373,2.00568767123288,-60,"""Catania"""
"""375""",374,2.00572602739726,45,"""Catania"""
"""376""",375,2.00572602739726,75,"""Fahrner"""
"""377""",376,2.00573150684931,90,"""Catania"""
"""378""",377,2.00573150684931,75,"""Wood"""
"""379""",378,2.0060904109589,240,"""Moon_Twila"""
"""380""",379,2.00623287671233,735,"""Catania"""
"""381""",380,2.00629589041096,945,"""Catania"""
"""382""",381,2.00632602739726,1125,"""Catania"""
"""383""",382,2.00638356164384,465,"""Catania"""
"""384""",383,2.00640821917808,600,"""Catania"""
"""385""",384,2.00642739726027,870,"""Catania"""
"""386""",385,2.00650136986301,420,"""Catania"""
"""387""",386,2.00651506849315,525,"""Catania"""
"""388""",387,2.00652054794521,120,"""Catania"""
"""389""",388,2.00656438356164,-30,"""Murray"""
"""390""",389,2.00656438356164,90,"""Catania"""
"""391""",390,2.00658356164384,-15,"""Bevan"""
"""392""",391,2.00658356164384,-15,"""Catania"""
"""393""",392,2.00658356164384,15,"""Wood"""
"""394""",393,2.00658904109589,30,"""Murray"""
"""395""",394,2.00658904109589,15,"""Catania"""
"""396""",395,2.00658904109589,75,"""Cheng"""
"""397""",396,2.00660547945205,-30,"""ESA"""
"""398""",397,2.00660821917808,75,"""Catania"""
"""399""",398,2.00660821917808,135,"""Cheng"""
"""400""",399,2.00669589041096,-300,"""Catania"""
"""401""",400,2.00669589041096,-270,"""PROMICE"""
"""402""",401,2.00671506849315,-150,"""Fahrner"""
"""403""",402,2.00671506849315,-195,"""Bevan"""
"""404""",403,2.00671506849315,-165,"""Catania"""
"""405""",404,2.00673424657534,-75,"""Catania"""
"""406""",405,2.0067397260274,-45,"""Cheng"""
"""407""",406,2.0067397260274,-30,"""Catania"""
"""408""",407,2.00698904109589,300,"""Catania"""
"""409""",408,2.00706849315069,-15,"""Catania"""
"""410""",409,2.00707671232877,495,"""Moon_Twila"""
"""411""",410,2.00722191780822,495,"""Catania"""
"""412""",411,2.0072602739726,705,"""Catania"""
"""413""",412,2.00726575342466,705,"""Catania"""
"""414""",413,2.00726575342466,1125,"""Bevan"""
"""415""",414,2.00726849315069,735,"""Bevan"""
"""416""",415,2.00727397260274,1020,"""Bevan"""
"""417""",416,2.00727671232877,825,"""Bevan"""
"""418""",417,2.00728219178082,735,"""Bevan"""
"""419""",418,2.0072904109589,810,"""Catania"""
"""420""",419,2.0072904109589,1005,"""Bevan"""
"""421""",420,2.00729863013699,900,"""Bevan"""
"""422""",421,2.0073095890411,900,"""Catania"""
"""423""",422,2.00731232876712,1080,"""Bevan"""
"""424""",423,2.00731780821918,1095,"""Bevan"""
"""425""",424,2.00732876712329,945,"""Bevan"""
"""426""",425,2.00733424657534,1035,"""Murray"""
"""427""",426,2.00734246575342,1065,"""Bevan"""
"""428""",427,2.00734520547945,1110,"""Bevan"""
"""429""",428,2.00735342465753,1155,"""Bevan"""
"""430""",429,2.00735890410959,1200,"""Catania"""
"""431""",430,2.00736164383562,1290,"""Bevan"""
"""432""",431,2.00736438356164,1365,"""Bevan"""
"""433""",432,2.0073698630137,1080,"""Bevan"""
"""434""",433,2.00737260273973,1155,"""Bevan"""
"""435""",434,2.00737260273973,1170,"""Bevan"""
"""436""",435,2.00737260273973,1215,"""Catania"""
"""437""",436,2.00737808219178,990,"""Bevan"""
"""438""",437,2.00738630136986,1365,"""Bevan"""
"""439""",438,2.00739178082192,1305,"""Catania"""
"""440""",439,2.00739452054795,1575,"""Bevan"""
"""441""",440,2.00740547945205,1005,"""Bevan"""
"""442""",441,2.00740821917808,1830,"""Bevan"""
"""443""",442,2.00741369863014,1680,"""Bevan"""
"""444""",443,2.00741643835616,1335,"""Bevan"""
"""445""",444,2.00741643835616,1320,"""Catania"""
"""446""",445,2.00742191780822,1380,"""Murray"""
"""447""",446,2.00742191780822,1350,"""Catania"""
"""448""",447,2.00743835616438,1530,"""Bevan"""
"""449""",448,2.00744109589041,1410,"""Bevan"""
"""450""",449,2.00744109589041,1410,"""Catania"""
"""451""",450,2.00745753424658,225,"""Bevan"""
"""452""",451,2.0074602739726,570,"""Bevan"""
"""453""",452,2.00746575342466,555,"""Bevan"""
"""454""",453,2.00746849315068,510,"""Bevan"""
"""455""",454,2.00747397260274,555,"""Bevan"""
"""456""",455,2.00748219178082,495,"""Bevan"""
"""457""",456,2.00748493150685,465,"""Catania"""
"""458""",457,2.00748493150685,510,"""Cheng"""
"""459""",458,2.00752054794521,570,"""Bevan"""
"""460""",459,2.00752328767123,600,"""Catania"""
"""461""",460,2.00754246575342,345,"""Bevan"""
"""462""",461,2.00756438356164,645,"""Bevan"""
"""463""",462,2.00758630136986,585,"""Bevan"""
"""464""",463,2.00758630136986,585,"""Catania"""
"""465""",464,2.00759178082192,210,"""Catania"""
"""466""",465,2.00759178082192,240,"""Cheng"""
"""467""",466,2.00759178082192,210,"""Bevan"""
"""468""",467,2.00759178082192,240,"""Wood"""
"""469""",468,2.00759452054795,-165,"""Bevan"""
"""470""",469,2.0076,330,"""Bevan"""
"""471""",470,2.00760547945205,510,"""Bevan"""
"""472""",471,2.00761095890411,285,"""Catania"""
"""473""",472,2.00761643835616,285,"""Bevan"""
"""474""",473,2.00761643835616,255,"""Catania"""
"""475""",474,2.00764931506849,-15,"""Bevan"""
"""476""",475,2.00765205479452,-315,"""ESA"""
"""477""",476,2.0076602739726,60,"""Bevan"""
"""478""",477,2.00766575342466,15,"""Bevan"""
"""479""",478,2.00767397260274,180,"""Bevan"""
"""480""",479,2.00767945205479,-30,"""Bevan"""
"""481""",480,2.00767945205479,-15,"""Catania"""
"""482""",481,2.00768219178082,135,"""Bevan"""
"""483""",482,2.00770136986301,90,"""Bevan"""
"""484""",483,2.00770410958904,105,"""Murray"""
"""485""",484,2.00770410958904,-30,"""Bevan"""
"""486""",485,2.00770410958904,90,"""Catania"""
"""487""",486,2.00770410958904,150,"""Fahrner"""
"""488""",487,2.00772876712329,210,"""Catania"""
"""489""",488,2.00774246575342,300,"""Catania"""
"""490""",489,2.00774520547945,435,"""Bevan"""
"""491""",490,2.00774794520548,450,"""Bevan"""
"""492""",491,2.00776164383562,480,"""Bevan"""
"""493""",492,2.0077698630137,540,"""Bevan"""
"""494""",493,2.00779726027397,615,"""Bevan"""
"""495""",494,2.0078301369863,-150,"""Bevan"""
"""496""",495,2.00784109589041,-60,"""Bevan"""
"""497""",496,2.00784931506849,75,"""Bevan"""
"""498""",497,2.00785753424658,75,"""Bevan"""
"""499""",498,2.00786575342466,150,"""Bevan"""
"""500""",499,2.00787397260274,45,"""Bevan"""
"""501""",500,2.00788767123288,300,"""Bevan"""
"""502""",501,2.00789315068493,90,"""Bevan"""
"""503""",502,2.00792602739726,285,"""Bevan"""
"""504""",503,2.00793698630137,480,"""Bevan"""
"""505""",504,2.0079397260274,570,"""Bevan"""
"""506""",505,2.00794520547945,420,"""Bevan"""
"""507""",506,2.00794794520548,480,"""Bevan"""
"""508""",507,2.00795342465753,480,"""Bevan"""
"""509""",508,2.00796164383562,390,"""Bevan"""
"""510""",509,2.0079698630137,540,"""Bevan"""
"""511""",510,2.00798356164384,585,"""Bevan"""
"""512""",511,2.00798904109589,660,"""Bevan"""
"""513""",512,2.00799726027397,615,"""Catania"""
"""514""",513,2.00801639344262,465,"""Bevan"""
"""515""",514,2.0080218579235,495,"""Bevan"""
"""516""",515,2.00802459016393,510,"""Bevan"""
"""517""",516,2.00803278688525,555,"""Bevan"""
"""518""",517,2.00803551912568,735,"""Bevan"""
"""519""",518,2.00804098360656,630,"""Bevan"""
"""520""",519,2.00804371584699,825,"""Bevan"""
"""521""",520,2.00804918032787,585,"""Bevan"""
"""522""",521,2.00806010928962,510,"""Bevan"""
